Datetime,CO2_in,PM25_AE_in,TVOC_in,Humidity_in,Temperature_in,THI,AC,FAN
2020/12/11 12:45,962,0,22,68,25,23.06113432,0,0
2020/12/11 12:46,987,1,33,69,25,23.12171606,0,0
2020/12/11 12:47,1025,1,32,69,25,23.12171606,0,0
2020/12/11 12:48,1064,1,38,70,25,23.18229932,0,0
2020/12/11 12:49,1092,1,46,70,25,23.18229932,0,0
2020/12/11 12:50,1118,1,48,69,25,23.12171606,0,0
2020/12/11 12:51,1141,1,52,69,25,23.12171606,0,0
2020/12/11 12:52,1180,1,59,69,25,23.12171606,0,0
2020/12/11 12:53,1219,1,63,70,25,23.18229932,0,0
2020/12/11 12:54,1249,0,66,70,25,23.18229932,0,0
2020/12/11 12:55,1279,1,66,71,25,23.24288398,0,0

