Datetime,CO2_in,PM25_AE_in,TVOC_in,Humidity_in,Temperature_in,CO2_out,Humidity_out,PM25_AE_out,TVOC_out,Temperature_out,60w,Td,THI,AC,FAN
2020/12/11 12:45,962,0,22,68,25,535,64.52,2,0,27.24,0,18.6698566,23.06113432,0,0
2020/12/11 12:46,987,1,33,69,25,416,65.22,1,0,27.21,0,18.90396089,23.12171606,0,0
2020/12/11 12:47,1025,1,32,69,25,426,65.61,1,6,27.18,0,18.90396089,23.12171606,0,0
2020/12/11 12:48,1064,1,38,70,25,424,65.61,3,5,27.18,0,19.13511507,23.18229932,0,0
2020/12/11 12:49,1092,1,46,70,25,490,65.57,2,11,27.15,0,19.13511507,23.18229932,0,0
2020/12/11 12:50,1118,1,48,69,25,638,65.73,2,45,27.14,0,18.90396089,23.12171606,0,0
2020/12/11 12:51,1141,1,52,69,25,504,66.08,3,13,27.18,0,18.90396089,23.12171606,0,0
2020/12/11 12:52,1180,1,59,69,25,426,66.24,2,41,27.17,0,18.90396089,23.12171606,0,0
2020/12/11 12:53,1219,1,63,70,25,417,66.21,3,50,27.18,0,19.13511507,23.18229932,0,0
2020/12/11 12:54,1249,0,66,70,25,415,66.32,3,31,27.15,0,19.13511507,23.18229932,0,0
2020/12/11 12:55,1279,1,66,71,25,422,65.82,2,1,27.25,0,19.36339766,23.24288398,0,0
2020/12/11 12:56,1298,1,70,71,25,415,65.68,1,0,27.21,0,19.36339766,23.24288398,0,0
2020/12/11 12:57,1324,1,74,72,25,412,66.02,3,0,27.15,0,19.58888404,23.30346993,0,0
2020/12/11 12:58,1344,1,83,72,25,408,66.21,3,11,27.15,0,19.58888404,23.30346993,0,0
2020/12/11 12:59,1356,1,75,72,25,407,65.72,3,17,27.21,0,19.58888404,23.30346993,0,0
2020/12/11 13:00,1379,1,83,72,25,463,66.1,1,29,27.11,0,19.58888404,23.30346993,0,0
2020/12/11 13:01,1379,1,83,72,25,676,66.5,1,83,27.1,0,19.58888404,23.30346993,0,0
2020/12/11 13:02,1406,1,81,72,25,448,66.65,3,36,27.07,0,19.58888404,23.30346993,0,0
2020/12/11 13:03,1422,1,93,73,25,448,66.65,3,36,27.07,0,19.8116466,23.36405704,0,0
2020/12/11 13:04,1444,0,85,73,25,471,66.57,2,45,27.06,0,19.8116466,23.36405704,0,0
